FADUL, Liliana;OTROS;Tierra del Fuego;1;1;1;1;0;1;1;1;1;1;0;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;9;1;1;0;0;1;1;1
FAUSTINELLI, Hipólito;UCR;Córdoba;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;1;0;1;1;1;1;2;1;1;2;2;1;1;2;2;2;2;2
FAVARIO, Carlos Alberto;OTROS;Santa Fe;0;1;1;1;1;1;1;1;0;0;0;2;0;1;1;1;1;1;1;1;9;1;1;1;0;1;1;2;1;1;1;1;1;1;1;1;0;0;1;1;1
FEIN, Mónica Hayde;PS;Santa Fe;0;1;1;1;1;1;1;1;2;2;2;2;1;1;2;2;1;1;1;1;2;2;1;1;0;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1
FELIX, Omar;FPV;Mendoza;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2
FELLNER, Eduardo Alfredo;FPV;Jujuy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;
FERNANDEZ, Rodolfo Alfredo;UCR;Corrientes;1;1;1;1;9;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1;0;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2
FERRA de BARTOL, Margarita;FPV;San Juan;0;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;9;2;2;2;2;2;2
FERRARI, Gustavo;PF;Buenos Aires;1;1;1;1;1;1;1;1;2;2;2;2;1;1;2;2;2;2;2;2;9;1;2;1;0;1;1;1;1;1;1;2;1;1;2;1;0;0;2;2;1
FIAD, Mario Raymundo;UCR;Jujuy;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9
FIOL, Paulina Esther;FPV;Santa Fe;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
FLORES, Héctor;CC;Buenos Aires;0;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;2;2;9;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2
FORCONI, Juan Carlos;PF;Santa Fe;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2
FORTE, Ulises;UCR;La Pampa;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1
FORTUNA, Francisco Jose;OTROS;Córdoba;1;1;1;1;1;1;1;1;1;1;0;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1
GALLARDO, Miriam Graciela;FPV;Tucumán;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;1;1
GAMBARO, Natalia;PF;Buenos Aires;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;2;2;2;2;2;1;1;2;1;1;1;1;1;1;2;1;1
GARCIA, Irma Adriana;UP;La Pampa;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1
GARCIA, María Teresa;FPV;Buenos Aires;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1
GARCIA, Susana Rosa;CC;Santa Fe;0;1;1;1;1;1;1;1;0;0;9;1;1;1;1;1;1;1;1;1;2;2;1;1;0;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1
GARDELLA, Patricia Susana;OTROS;Buenos Aires;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;2;2;2;2;2
GARNERO, Estela;OTROS;Córdoba;1;1;1;1;9;1;1;1;2;2;2;1;1;2;1;1;1;1;9;2;1;1;1;1;1;1;1;9;1;1;1;1;1;1;1;1;0;9;1;1;1
GERMANO, Daniel;PF;Santa Fe;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;0;0;1;2;1
GIANNETTASIO, Graciela María;FPV;Buenos Aires;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
GIL LAVEDRA, Ricardo Rodolfo;UCR;Cdad. Aut. Bs. As.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1
GIL LOZANO, Claudia Fernanda;CC;Cdad. Aut. Bs. As.;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9;9;1;1;1;1;1;1;9;1;1;1;1;1;1;1;1;1;1;1;1;1
GIOJA, Juan Carlos;FPV;San Juan;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2
GIUBERGIA, Miguel Angel;UCR;Jujuy;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1
